Date-Time,Region,Facility,Entrance,Entries,Exits
12/11/19 12:00 PM,UC Berkeley,AHC Library,AHC Back,10,9
12/11/19 12:00 PM,UC Berkeley,AHC Library,AHC Front,10,12
12/11/19 12:00 PM,UC Berkeley,ANTH Library,ANTH,43,36
12/11/19 12:00 PM,UC Berkeley,BANC Library,Bancroft,49,85
12/11/19 12:00 PM,UC Berkeley,BIOS Library,VLSB1,69,75
12/11/19 12:00 PM,UC Berkeley,BIOS Library,VLSB2,65,40
12/11/19 12:00 PM,UC Berkeley,CHEM Library,CHEM,78,37
12/11/19 12:00 PM,UC Berkeley,DOE Library,Doe North,194,179
12/11/19 12:00 PM,UC Berkeley,DOE Library,Doe South,152,157
12/11/19 12:00 PM,UC Berkeley,DOE STACKS,Moffit Corridor,109,135
12/11/19 12:00 PM,UC Berkeley,DOE STACKS,Stacks East,86,95
12/11/19 12:00 PM,UC Berkeley,EAL Library,EAL,56,63
12/11/19 12:00 PM,UC Berkeley,EART Library,Earth North,11,22
12/11/19 12:00 PM,UC Berkeley,EART Library,Earth South,15,6
12/11/19 12:00 PM,UC Berkeley,ENGI Library,ENGI,133,112
12/11/19 12:00 PM,UC Berkeley,ENVI Library,ENVI,152,144
12/11/19 12:00 PM,UC Berkeley,GRDS Library,GRAD,26,27
12/11/19 12:00 PM,UC Berkeley,HAAS Library,HAAS 2F,148,108
12/11/19 12:00 PM,UC Berkeley,HAAS Library,HAAS 3F,67,63
12/11/19 12:00 PM,UC Berkeley,MATH Library,MATH,48,43
12/11/19 12:00 PM,UC Berkeley,MOFF Library,Moffit Entry,258,8
12/11/19 12:00 PM,UC Berkeley,MOFF Library,Moffit Exit,0,167
12/11/19 12:00 PM,UC Berkeley,MOFF Library,Moffitt 4th,209,192
12/11/19 12:00 PM,UC Berkeley,MORR Library,Morrison,31,17
12/11/19 12:00 PM,UC Berkeley,MUSI,MUSI,76,66
12/11/19 12:00 PM,UC Berkeley,NEWS Library,News,16,16
12/11/19 12:00 PM,UC Berkeley,OPTO Library,OPTO,28,41
12/11/19 12:00 PM,UC Berkeley,PHYS Library,PHYS,12,9
12/11/19 12:00 PM,UC Berkeley,SEAL Library,SEAL,15,14
